동,위도,경도
가정동,37.5263323,126.6705205
가좌동,37.4943721,126.6726009
간석동,37.4603909,126.6980421
갈산동,37.517675,126.7271995
검암동,37.5641,126.6745
경동,37.4720987,126.6328297
경서동,37.5595004,126.6547725
계산동,37.5396107,126.7213341
고잔동,37.3967,126.7001
공촌동,37.550917,126.6964
관교동,37.4441834,126.6968131
관동1가,37.4736765,126.6215491
관동2가,37.4727209,126.6234947
관동3가,37.4720383,126.6247492
구산동,37.4746,126.7561
구월동,37.4476505,126.7124925
금곡동,37.6159,126.6418
남촌동,37.4241,126.7127
내동,37.4733096,126.6281875
논현동,37.4057553,126.7293076
답동,37.4700846,126.6295375
당하동,37.5920695,126.674613
도림동,37.4192,126.7259
도원동,37.4680937,126.6379007
도화동,37.4609364,126.6738925
동춘동,37.4096428,126.6707506
마전동,37.595396,126.6736756
만석동,37.4832479,126.6255365
만수동,37.448775,126.7319911
문학동,37.4376974,126.6850124
박촌동,37.5548,126.7469
백석동,37.5792,126.67
병방동,37.5475906,126.7434217
부개동,37.4848523,126.7370865
부평동,37.4942162,126.7200708
북성동1가,37.4735376,126.6053416
북성동2가,37.4766,126.6182
산곡동,37.5069003,126.7002662
삼산동,37.5183939,126.7375727
서운동,37.5303167,126.7541125
서창동,37.434401,126.749675
석남동,37.5111848,126.6747555
선린동,37.4745307,126.618205
선학동,37.4225219,126.7013097
선화동,37.4656466,126.6372709
송도동,37.3910473,126.6520348
송림동,37.476265,126.6402562
송월동1가,37.4800346,126.6230875
송학동2가,37.4739318,126.624599
송현동,37.4868513,126.642225
수산동,37.4373,126.7257
숭의동,37.4639846,126.6502875
시천동,37.5699,126.6923
신생동,37.466985,126.627988
신현동,37.5186,126.6672
신흥동1가,37.467476,126.631488
신흥동2가,37.4663596,126.6334875
신흥동3가,37.4478,126.6262
심곡동,37.54125,126.6814125
십정동,37.475851,126.696059
연수동,37.4222651,126.6812347
연희동,37.5489311,126.6782111
옥련동,37.4273876,126.6551024
용동,37.4732,126.6314
용종동,37.5409,126.7448
용현동,37.450851,126.647063
운남동,37.4863,126.53
운서동,37.4934183,126.4884593
운연동,37.439976,126.7633
유동,37.4693596,126.63695
인현동,37.475468,126.6315
일신동,37.4845341,126.7469557
임학동,37.546825,126.7351375
작전동,37.5307971,126.729707
장수동,37.4586,126.7603
전동,37.4772,126.6268
주안동,37.463776,126.676525
중앙동1가,37.4734347,126.6204282
중앙동3가,37.4719758,126.6228495
창영동,37.4706346,126.64025
청라동,37.5326783,126.6537441
청천동,37.5198116,126.701964
청학동,37.4249906,126.6661279
학익동,37.4398411,126.6640894
항동2가,37.4725979,126.6177478
항동7가,37.4538096,126.6022125
화수동,37.485201,126.630825
화평동,37.479,126.6309
효성동,37.5324527,126.7121562
갈현동,37.5808,126.7223
강화읍,37.7483599,126.4836967
귤현동,37.5668,126.7505
내가면,37.7193798,126.3898645
노오지동,37.5795,126.7583
다남동,37.5632,126.7219
대곡동,37.6248,126.6684
동양동,37.5571,126.7592
둑실동,37.5804917,126.697025
목상동,37.56835,126.7066125
방축동,37.5548,126.732125
불로동,37.6104,126.6919
사동,37.4688596,126.6256625
상야동,37.5752167,126.77065
선주지동,37.579,126.7471
송해면,37.7646324,126.463439
오류동,37.585899,126.726825
왕길동,37.5917,126.6496
운북동,37.514117,126.517925
원당동,37.5951583,126.7017078
원창동,37.5133153,126.634213
이화동,37.586599,126.739738
장기동,37.5787833,126.736625
평동,37.5831,126.7726
하야동,37.5807,126.7853
하점면,37.7748965,126.4116519
항동1가,37.4738787,126.61674
항동3가,37.4721125,126.6192929
항동4가,37.4713815,126.6204847
항동5가,37.4706894,126.6216925
북성동3가,37.4762,126.6209
송학동1가,37.4746057,126.6224361
중산동,37.4974,126.5616
송월동3가,37.4780416,126.6210508
길상면,37.6416621,126.4891486
양도면,37.6628698,126.4220842
화도면,37.6316897,126.4198465
덕교동,37.4183,126.4142
무의동,37.3893689,126.4249097
교동면,37.78445,126.2829125
영흥면,37.2560011,126.4839077
선원면,37.7132925,126.4848016
남북동,37.45026,126.413012
불은면,37.6866159,126.4802873
삼산면,37.7048524,126.3203083
을왕동,37.4597096,126.3696625
양사면,37.7983942,126.4085252
북도면,37.5328619,126.4287213
서도면,37.6503218,126.2392008
